P28749	Q13547
P06400	Q13547
Q13547	Q16254
P28749	Q16254
P15927	P78527
P12956	P78527
P27694	P78527
P27694	P43351
P15927	P43351
P35244	P43351
P15927	P23025
P23025	P27694
P27694	Q06609
P27694	Q14565
P43351	Q06609
P15927	Q13315
P13051	P15927
P04637	P09429
O15151	O15350
O60566	P21851
O43684	O60566
O43683	P21851
O43683	Q10567
O00203	O60566
O00203	O43683
O60566	Q9Y6B7
O43683	Q9Y6B7
P04637	P15559
P04637	Q15648
P04637	P38398
P17275	P38398
P05412	P38398
P51587	Q06609
P04637	P51587
P12004	P24941
P12004	P20248
P12004	Q8IWY9
P18858	P24941
O75714	P35249
P12004	Q96C41
O75714	P12004
P12004	P39748
P12004	P28715
P12004	P24522
O95257	P12004
O95257	Q8IWY9
Q9NS83	Q9UK52
Q9UK52	Q9UK53
Q9NS83	Q9UK53
P12004	Q9UK52
P06493	P24522
P24522	Q8IWY9
O95257	P06493
O75293	P06493
P04637	P09874
P04637	Q12888
P04637	P06493
Q00535	Q15078
P02340	Q12888
O14867	P38398
P13862	P19138
Q01094	Q8N726
P06400	Q01094
Q14188	Q16254
Q01094	Q14188
Q14186	Q15329
Q01094	Q14186
O00716	Q14186
Q14186	Q16254
O00716	P06400
P06400	Q16254
P04637	P49459
P04637	Q8N726
P04637	P31350
P23921	Q9NTD8
P15927	P22674
P27694	P35244
P07992	P23025
O00255	P27694
O00255	P35244
O00255	P19838
O00255	Q04206
O00255	Q00653
P04637	P27694
P27694	Q13156
P35244	Q13156
P12004	P22674
P19447	P43351
P18074	P43351
O43543	O75771
Q01094	Q92547
P38398	Q01094
P38398	Q92547
Q92547	Q96C41
Q07864	Q92547
Q08999	Q99708
Q13363	Q99708
O00158	Q13363
P25801	Q13363
P38398	Q13363
O60619	P38398
O60619	Q13363
O00158	O60619
P35232	P51532
P35232	Q9HCU9
P03070	P35232
P35232	Q01094
O15379	P78347
P15407	P23025
P20226	Q01094
P06400	P17947
P04637	Q9NTD8
P40855	Q64364
P12956	P15927
P20226	P23804
O60566	Q10567
P12004	P35249
O00255	P15927
P06400	Q99708
P17947	P20226
P49459	Q8N726
P15927	P27694
Q01094	Q13547
P49459	P62988
P23921	P31350
P04637	Q64364
O35618	P04637
O00158	P38398
Q64364	Q9NXV6
Q8N726	Q9NXV6
P52292	Q15653
Q00653	Q93008
O00221	O00743
Q13233	Q16543
P35214	Q99759
P25963	Q00653
Q15653	Q9Y2S0
O15491	Q13233
Q00653	Q01201
P40692	P54278
P41279	Q8NFZ5
P19838	P41279
P41279	Q00653
P41279	Q04206
Q04864	Q8NFZ5
P41279	Q04864
Q04864	Q8IYF5
Q04206	Q04864
P25963	Q9UKB1
P25963	Q04864
P25963	Q13616
P25963	Q15653
O95163	P25963
O15111	P25963
P25963	P33992
P25963	P33993
Q15653	Q16342
P25963	Q04206
O15446	Q15653
Q15653	Q9UKB1
Q04864	Q15653
Q13616	Q15653
O15111	Q15653
O14920	Q15653
Q13576	Q15653
P42704	Q15653
P23508	Q15653
P46199	Q15653
P19838	Q15653
Q00653	Q15653
Q15653	Q9UJF2
Q15653	Q8NBA9
P52434	Q15653
P52436	Q15653
Q04206	Q15653
O15160	Q15653
O00221	Q9UKB1
O00221	Q04864
O00221	Q13616
O00221	O15111
O00221	O15084
P19838	P35606
P19838	Q04864
O00221	P19838
P19838	Q9Y6K9
P19838	Q00653
Q00653	Q969H0
Q00653	Q04864
O15027	Q00653
Q00653	Q04206
O15111	Q00653
O14920	Q00653
Q00653	Q9Y6K9
O00505	P19838
Q00653	Q8NFZ5
O00571	Q00653
Q00653	Q92896
P78347	Q00653
P04645	Q00653
Q00653	Q02878
